keyCode	key/code
8	Backspace
9	Tab
12	Clear
13	Enter
16	Shift
17	Control
^	Ctrl
18	Alt
19	Pause
20	CapsLock
27	Esc(ape)
32	Space(bar)
33	PageUp
34	PageDown
35	End
36	Home
37	(Arrow)Left
38	(Arrow)Up
39	(Arrow)Right
40	(Arrow)Down
45	Ins(ert)
46	Del(ete)
48-57	Digit{0-9}
65-90	(Key){A-Z}
^	{a-z}
91	Meta
^	OS
^	Win
93	ContextMenu
96-105	Numpad{0-9}
106	NumpadMultiply
107	NumpadAdd
109	NumpadSubtract
110	NumpadDecimal
111	NumpadDivide
112-123	F{1-12}
144	NumLock
145	ScrollLock
173/181	(Audio)VolumeMute
174/182	(Audio)VolumeDown
175/183	(Audio)VolumeUp
186/59	Semicolon
187/61	Equal
188	Comma
189/173	Minus
190	Period
191	Slash
192	Backquote
219	BracketLeft
220	Backslash
221	BracketRight
222	Quote
229	Process
^	Unidentified
